Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
42,Josh Fields,30,P,0.0,21,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,1,
43,Nick Tepesch,27,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,/1,
44,Grant Dayton*,28,P,0.0,23,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,1,
45,Pedro Báez,28,P,0.0,67,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,1,
46,Adam Liberatore*,29,P,0.0,55,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
47,Yimi García,25,P,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
48,Kenley Jansen#,28,P,0.0,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS
49,Luis Avilán*,26,P,0.0,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
50,Joe Blanton,35,P,0.0,71,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
51,Jesse Chavez,32,P,0.0,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
52,Chin-hui Tsao,35,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
53,Louis Coleman,30,P,0.0,57,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
54,Josh Ravin,28,P,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
55,Casey Fien,32,P,0.0,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
,Team Totals,,,22.0,162,6164,5518,725,1376,272,21,189,680,45,26,525,1321,.249,.319,.409,.728,95,.325,96,2257,120,58,30,32,31,,
,Non-Pitcher Totals,,,22.1,,5846,5233,710,1341,270,21,188,663,45,26,517,1200,.256,.328,.424,.752,102,.333,103,2217,117,58,5,32,31,,
,Pitcher Totals,,,-0.2,,318,285,15,35,2,0,1,17,0,0,8,121,.123,.147,.140,.287,-22,.156,-35,40,3,0,25,0,0,,
